text,intent,response
IT support needed: i need to reset my account password,password_reset,Use the company password reset portal and follow the instructions to create a new password.
Can you help me? the system performance is poor,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
The system performance is poor,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
Can IT help me install software?,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
IT support needed: i forgot my company login password,password_reset,Use the company password reset portal and follow the instructions to create a new password.
The system performance is poor please,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
My print job is stuck please,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
"Please help, my email is not working",email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
"Please help, how can i log in to the company vpn?",vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
I need to report a cyber security issue please,security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
How do I connect to VPN?,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
The mouse is not responding urgently,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
"Please help, i found a possible security threat",security_issue,Do not open suspicious links or attachments. Report the incident immediately through the company's approved security reporting process.
My document is not printing urgently,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
Can you help me? how do i connect to vpn?,vpn_access,"Open the approved company VPN application, enter your credentials, and connect to the authorized company network."
Can you help me? my computer takes a long time to open applications,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
IT support needed: my keyboard keys are not responding,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
IT support needed: my laptop is running slowly,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
Why is my wireless connection slow? please,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
I need help because i need to install python,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
My keyboard is not working,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
Email is showing an error please,email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
IT support needed: my system is freezing,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
My laptop cannot connect to WiFi please,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
"Please help, i need access to the company system",account_access,Verify your login details and contact the IT support team to check or restore your account access.
"Please help, the office internet is down",wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
Can you help me? my email is not working,email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
My laptop screen is damaged,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
I need help because my email is not working,email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
Can you help me? the monitor is not displaying anything,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
The laptop battery is not charging please,hardware_issue,Check the device connections and restart the equipment. Create a hardware support ticket if the issue continues.
I need help because my laptop cannot connect to wifi,wifi_issue,"Check that WiFi is enabled, restart your device, and reconnect to the company network. Contact IT support if the issue continues."
My laptop is running slowly please,slow_computer,"Restart the computer, close unnecessary applications, and check available storage. Contact IT support if the problem continues."
Please install an application on my laptop,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
I need help because please help me access the application,account_access,Verify your login details and contact the IT support team to check or restore your account access.
I need help because i am not receiving emails,email_issue,"Check your internet connection and email credentials, then restart the email application. Contact IT support if the issue persists."
The printer is not working urgently,printer_issue,"Check the printer connection and selected printer, then retry the print job. Contact IT support if the printer remains unavailable."
Can IT help me install software? urgently,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
How do I install Microsoft Office? please,software_installation,Submit a software installation request through the company IT service portal. Only approved software should be installed.
